lemma	freq	ours	OpenGNT
ἐπιτυγχάνω	5	obtener	logró alcanzar (3) · alcanzaron (1) · alcanzar (1)
ἔμπορος	5	mercaderes	comerciantes viajeros (4) · a comerciante viajero (1)
ἔντιμος	5	precioso	valiosa (2) · muy valioso (1) · de más honra que (1)
ἡδέως	5	de buena gana	gustosamente (2) · Gustosamente (1)
ἡσυχάζω	5	callar	guardaron quietud (2) · descansaron (1) · guardamos quietud (1)
Ἰεσσαί	5	de Isaí	Jesé (5)
ὀθόνιον	5	lienzos	vendas (4) · a vendas (1)
ὀνειδισμός	5	oprobio	vituperio (2) · vituperios (1) · reproche (1)
ὀψάριον	5	pez	pescaditos (3) · pescadito (2)
ὁδηγέω	5	conducir	mostrará el camino (3) · esté mostrando el camino (1) · estar mostrando el camino? (1)
ὁδηγός	5	guiar	mostradores del camino (2) · mostrador del camino (2) · Mostradores del camino (1)
ὁποῖος	5	como	de qué clase (2) · cual clase (1) · -- de qué clases (1)
ὁρμάω	5	lanzarse	(se) precipitó (2) · precipitaron (2) · precipitó (1)
ὑβρίζω	5	maltratar	trataron insolentemente (1) · estás tratando insolentemente (1) · será tratado insolentemente (1)
ὑπερέχω	5	sobresaliente	estando teniendo por encima (4) · estar teniendo por encima (1)
ὑπερήφανος	5	soberbio	a (los de) apariencia superior (3) · de apariencia superior (1) · aparentadores de superioridad (1)
ὑπόστασις	5	confianza	estar de pie debajo (en soporte) (2) · sustancia (1) · plena seguridad (1)
βάπτω	4	mojar	sumerja (1) · sumergiré (1) · habiendo sumergido (1)
βλάσφημος	4	blasfemo	hablador injurioso (2) · injuriosas (1) · habladores injuriosos (1)
γλυκύς	4	nuevo	dulce (4)
γνήσιος	4	verdadero	genuino (4)
δαμάζω	4	someter	domar (2) · está siendo domado (1) · ha sido domado (1)
δεσμωτήριον	4	cárcel	lugar de cadenas (4)
διαδίδωμι	4	dividir	está dando completamente (1) · da completamente (1) · dio a través (1)
διηνεκής	4	todo tiempo	llevado a través (contínuamente) (3) · llevando a través (1)
δόμα	4	dones	regalos (2) · dádivas (1) · dádiva (1)
εὐλαβής	4	piadoso	reverente (2) · reverentes (2)
θορυβέω	4	alborotar	estando siendo que griten ruidosamente (1) · se les está haciendo gritar ruidosamente (1) · estás siendo perturbada (1)
θρηνέω	4	entonar lamento	gemimos de llanto (2) · estaban gimiendo en llanto (1) · gemirán de llanto (1)
θρησκεία	4	religión	forma de adoración (3) · Forma de adoración (1)
καθό	4	como	según a lo que (4)
κανών	4	región	caña (de medir) (4)
καταπαύω	4	reposar	descansó (2) · hicieron desistir (1) · hizo descanzar (1)
κατασκηνόω	4	posarse	estar asentando tienda (2) · asentaron tienda (1) · asentará tienda (1)
καταφέρω	4	dominar	estando siendo llevado hacia abajo (1) · habiendo sido llevado hacia abajo (1) · estando llevando hacia abajo (1)
κείρω	4	esquilar	habiendo trasquilado (1) · habiéndose rapado (1) · se trasquile (1)
κράτιστος	4	excelentísimo	Más Fuerte (4)
κτῆμα	4	posesiones	adquisiciones (3) · adquisición (1)
κυλλός	4	lisiado	mancos (2) · manco (2)
κυριότης	4	autoridad	señorío (1) · señoríos (1) · de señorío (1)
λάχανον	4	hortalizas	legumbres (3) · legumbre (1)
λόγιον	4	oráculos	palabritas (4)
μάχη	4	contiendas	peleas (4)
μάχομαι	4	discutir	Estaban peleando (1) · estando peleando (1) · estar peleando (1)
μαθητεύω	4	discipulado	habiendo sido hecho aprendiz (2) · hagan aprendices (1) · habiendo hecho aprendices (1)
μαλακός	4	delicado	suaves (prendas) (2) · suaves (1) · (hombres) suaves (1)
μετοικεσία	4	llevar	cambio de casa (4)
μηνύω	4	mostrar	expuso (1) · exponga (1) · Habiendo sido expuesto (1)
μωραίνω	4	volverse insípida	sea hecha simple (1) · sea simple (1) · fueron hechos necios (1)
πάροικος	4	extranjeros	habitante forastero (2) · habitantes forasteros (2)
πέρας	4	confines	límites (3) · fin (1)
παρακολουθέω	4	acompañar	seguirá al lado (1) · habiendo seguido a lo largo al lado de (1) · has seguido (a lo largo) al lado de (1)
παραφέρω	4	quitar	remueve (2) · estén siendo llevados al lado de (1) · estando siendo llevados a lado de (1)
περίλυπος	4	muy triste	profundamente contristado (3) · Profundamente contristada (2)
περιΐστημι	4	evitar	estés poniéndote de pie alrededor (2) · ha estado de pie alrededor (1) · habiendo puesto de pie alrededor de (1)
περιέρχομαι	4	ambulante	estando yendo alrededor (2) · fueron alrededor (1)
περιαιρέω	4	ser abandonado	estaba siendo alzada alrededor (1) · habiendo alzado alrededor (1) · habiendo ido alrededor (1)
πικραίνω	4	ser áspero	estén siendo amargados (1) · fueron hechas amargas (1) · hará amarga (1)
πλεονέκτης	4	avaro	deseosos de tener más (2) · deseoso de tener más (2)
πλουσίως	4	abundantemente	ricamente (4)
προσήλυτος	4	convertidos	prosélito (2) · prosélitos (2)
πόνος	4	preocupación	dolor (2) · afán (1) · dolores (1)
σάκκος	4	cilicio	saco (3) · sacos de pelo (1)
σεμνός	4	digno	serias (2) · serios (2)
σκύλλω	4	cansarse	han sido desolladas (1) · estás molestando (1) · estés siendo molestado (1)
σμύρνα	4	Esmirna	mirra (1) · de mirra (1)
σουδάριον	4	pedazo de tela	paño (2) · pañuelo (1) · paños (1)
σπουδαίως	4	fervientemente	solícitamente (2) · diligentemente (1)
στέγω	4	perdurable	estando soportando (2) · estamos soportando (1) · está soportando (1)
στερεός	4	lo firme	sólido (1) · de sólida (1) · sólida (1)
στοά	4	pórtico	columnata (3) · columnatas (1)
στρουθίον	4	pajarillos	gorrioncitos (4)
συμπορεύομαι	4	reunirse	están yendo en camino juntando (1) · estaban yendo en camino junto con (1) · Estaban yendo en camino junto con (1)
συναρπάζω	4	apoderarse	había arrebatado violentamente por completo (1) · arrebataron violentamente juntos (1) · juntos habiendo arrebatado violentamente (1)
σύνδεσμος	4	vínculo	atadura unidora (2) · lazo (1) · ataduras unidoras (1)
ταμεῖον	4	aposentos interiores	cuartos privados (2) · cuarto privado (1) · cuarto de almacenamiento (1)
ταῦρος	4	bueyes	toros (2) · de toros (2)
φάτνη	4	pesebre	comedero de forraje (4)
ψηλαφάω	4	tocar	palpen (2) · estando siendo palpado (1) · palparon (1)
ἀγρυπνέω	4	vigilia	estén absteniendo de dormir (1) · Estén absteniendo de dormir (1) · estando absteniendo de dormir (1)
ἀδιαλείπτως	4	sin cesar	incesantemente (3) · Incesantemente (1)
ἀκροατής	4	oyentes	oidores (2) · oidor (2)
ἀμίαντος	4	sin mancha	incontaminada (3) · incontaminado (1)
ἀμελέω	4	hacer caso omiso	habiendo sido indiferentes (2) · estés descuidando (1) · (me) desatendí (1)
ἀνάμνησις	4	memoria	recuerdo (4)
ἀνίημι	4	ser sueltos	fue desligado (1) · habiendo desligado (1) · estando soltando (1)
ἀνακύπτω	4	enderezarse	levantar erguida (1) · levántense erguidos (1) · (se) levantó erguido (1)
ἀντέχω	4	apegarse a	(se) adherirá (2) · estén firmemente adheridos (1) · se esté adhiriendo firmemente (1)
ἀντιλογία	4	disputas	contradicción (3) · habla contraria (1)
ἀποβαίνω	4	salir	habiendo desembarcado (1) · Dará pasos desde (1) · dieron pasos desde (1)
ἀποδείκνυμι	4	expuesto	ha sido mostrado (1) · estar demostrando (1) · mostró (1)
ἀποστολή	4	apostolado	obra de enviado como emisario (4)
ἀρχηγός	4	el Autor	Guía Jefe (4)
ἀφροσύνη	4	insensatez	irracionalidad (3) · de irracionalidad (1)
ἄγαμος	4	soltero	no casados (1) · sin casar (1) · no casado (1)
ἄτοπος	4	injusticia	fuera de lugar (4)
ἄφωνος	4	mudo	sin sonido (2) · sin sonidos (1) · sin voz (1)
ἐγκράτεια	4	dominio propio	autodominio (4)
ἐθνικός	4	gentiles	(individuos) de las naciones (3) · individuo de (las) naciones (1)
ἐκθαμβέω	4	asombrarse mucho	fueron aturdidos (1) · estar siendo aturdido (1) · fueron aturdidas (1)
ἐκπειράζω	4	probar	pondrás a prueba (2) · estando poniendo a prueba (1) · estemos poniendo a prueba (1)
ἐκτίθημι	4	ser puesto fuera	estaba exponiendo (2) · Habiendo sido expuesto (1) · expusieron (1)
ἐμμένω	4	continuar	estar permaneciendo en (1) · Permaneció (1) · está permaneciendo en (1)
ἐξαγοράζω	4	redimir	estando comprando hacia fuera para sí (2) · compró hacia fuera (1) · compre hacia fuera (1)
ἐπίβλημα	4	remiendo	parche (4)
ἐπακολουθέω	4	acompañar	estando siguiendo encima (1) · siguió sobre (1) · están siguiendo sobre (más tarde) (1)
ἐπιβουλή	4	complot	consejo en contra (3) · consejos en contra (1)
ἐπιφαίνω	4	alumbrar	Brillar sobre (1) · estando apareciendo (1) · Fue manifestada (1)
ἐπιφωνέω	4	gritar	estaban vociferando (3) · estaba vociferando (1)
ἐρημία	4	lugar apartado	desierto (2) · desierto? (1) · desiertos (1)
ἔνδειξις	4	manifestación	demostración (4)
ἔξειμι	4	partir	estar yendo hacia fuera (2) · Habiendo ido hacia fuera (1) · estaban yendo hacia fuera (1)
ὀρθῶς	4	claramente	Correctamente (2) · normalmente (1) · correctamente (1)
ὄφελον	4	desear	quisiera (que) (2) · habiendo querido (que) (1) · Habiendo querido (que) (1)
ὅλως	4	en absoluto	enteramente (3) · Enteramente (1)
ὅρασις	4	en apariencia	a vista (3) · visiones (1)
ὑποστέλλω	4	rehuir	me retraje (2) · estaba retrayéndose (1) · se retrae (1)
ὠφέλιμος	4	provechoso	beneficioso (3) · beneficiosas (1)
Δίδυμος	3	Dídimo	Gemelo (3)
Ναασσών	3	Naasón	Nahsón (3)
Σαλαθιήλ	3	Salatiel	Sealtiel (3)
Φάρες	3	Fares	Pérez (3)
αἱρέω	3	escoger	seleccionaré (1) · seleccionó (1) · seleccionó para sí (1)
βάσανος	3	dolores	tormentos (2) · tormento (1)
βαπτισμός	3	lavamientos	sumergimientos (2) · sumergimiento (1) · de sumergimientos (1)
βιβλαρίδιον	3	librito	rollito (3)
βούλημα	3	propósito	voluntad expresa (2) · voluntad (1)
γαλήνη	3	bonanza	calma (3)
δίκη	3	pena	Dike (1) · (con) justicia (1) · a justicia (1)
δειλός	3	temeroso	cobardes (3)
δελεάζω	3	ser seducido	estando siendo atraído con carnada (1) · estando atrayendo con carnada (1) · están atrayendo con carnada (1)
διΐστημι	3	transcurrir	habiendo pasado (2) · (se) separó (1)
διαίρεσις	3	diversidades	variedades (2) · Variedades (1)
διαγίνομαι	3	pasar	habiendo llegado a ser a través (2) · habiendo llegado a ser ya (1)
διαρπάζω	3	saquear	arrebatará violentamente por completo (2) · arrebatar violentamente por completo (1)
διαφημίζω	3	dar a conocer	informaron completamente (1) · fue divulgada (1) · estar divulgando (1)
δούλη	3	sierva	esclava (2) · esclavas (1)
δυνάστης	3	gobernantes	a poderosos (1) · poderoso (1) · Potentado (1)
εὐαγγελιστής	3	evangelista	proclamador de buenas noticias (1) · proclamadores de buenas noticias (1) · de proclamador de buenas noticias (1)
εὐσεβής	3	piadoso	bien-reverente (2) · a (los) bien reverentes (1)
εὐσχημόνως	3	debidamente	bien decorosamente (2) · decentemente (1)
θάμβος	3	asombro	estupefacción (1) · Estupefacción (1) · de estar atónitos (1)
θαμβέω	3	asombrarse	estaban siendo hechos estar atónitos (2) · fueron hechos estar estupefactos (1)
θιγγάνω	3	tocar	palpe (2) · palpes (1)
θροέω	3	alarmarse	estén siendo aterrorizados (2) · estar siendo alborotados (1)
κατάλυμα	3	aposento	cuarto de huéspedes (3)
καταγελάω	3	burlarse de	estaban riendo despreciativamente (3)
καταπίπτω	3	caer	cayó hacia abajo (1) · habiendo caído hacia abajo (1) · estar cayendo hacia abajo (1)
κατευθύνω	3	dirigir	haga recto hacia abajo (2) · hacer recto hacia abajo (1)
κρημνός	3	despeñadero	precipicio (3)
κυκλόθεν	3	alrededor	rodeando circularmente (3)
κῆρυξ	3	heraldo	predicador (3)
λαῖλαψ	3	tempestad	tormenta (2) · tormenta violenta (1)
λειτουργέω	3	ministrar	Haciendo servicio público (1) · servir públicamente (1) · estando dando servicio público (1)
λοιδορία	3	insulto	injuria denigrante (2) · de injuria denigrante (1)
λυτρόω	3	redimir	estar rescatando (1) · libere por rescate (1) · fueron libertados por rescate (1)
λύτρωσις	3	redención	rescate (3)
μέθη	3	embriaguez	bebida excesiva (1) · a borracheras (1) · borracheras (1)
μακαρισμός	3	bienaventuranza	dicha (3)
μαλακία	3	enfermedad	suavidad (3)
μετάθεσις	3	cambio	transferencia (3)
μισθωτός	3	jornaleros	trabajador a sueldo (2) · trabajadores a sueldo (1)
μνημόσυνον	3	memorial	recuerdo (3)
μνηστεύω	3	estar desposada	habiendo sido comprometida (1) · ha sido comprometida (1) · ha sido dada en matrimonio (1)
μόδιος	3	canasta	cesta de medir (3)
μόχθος	3	penalidad	afán (3)
νοσφίζω	3	retener	puso aparte (1) · poner aparte (1) · estando poniendo aparte (1)
παιδαγωγός	3	tutores	instructor-guía de niños (2) · instructores-guía de niños (1)
παραβαίνω	3	romper	están traspasando (2) · dejó al lado de (1)
παρακούω	3	no escuchar	rehusa oír (2) · habiendo oído al lado de (1)
παρεπίδημος	3	peregrinos	residentes forasteros (3)
πεντηκοστή	3	de Pentecostés	Quincuagésimo (3)
περικαλύπτω	3	encubrir	estar cubriendo alrededor (1) · habiendo cubierto alrededor (1) · ha sido cubierta alrededor (1)
περιπίπτω	3	caer entre	cayeron alrededor de (1) · Habiendo caído alrededor (1) · caigan alrededor (1)
περιποιέω	3	salvar	preservar para sí (1) · reservó para sí (1) · están procurando (1)
πλόος	3	travesía	navegación (3)
πολυτελής	3	de gran precio	muy costoso (1) · muy costosa (1) · muy valioso (1)
πορθέω	3	asolar	estaba devastando (2) · habiendo devastado (1)
πρεσβυτέριον	3	presbiterio	grupo de hombres de mayor edad (3)
πρεσβύτης	3	anciano	viejo (1) · Hombres de mayor edad (1) · de edad avanzada (1)
προκοπή	3	progreso	corte de un golpe hacia adelante (3)
προλαμβάνω	3	anticiparse	tomó por adelantado (1) · está tomando por adelantado (1) · sea tomado completamente (1)
πυκνός	3	a menudo	frecuente (1) · más frecuente (1) · frecuentes (1)
πυρρός	3	Pirro	rojo fuego (2)
πύρωσις	3	ardiente	incendio (3)
σεβαστός	3	del emperador	Augusto (2) · de Augusto (1)
σεμνότης	3	dignidad	seriedad (3)
σιτευτός	3	engordado	cebado con grano (3)
σκάφη	3	esquife	barca auxiliar (3)
σκοτόω	3	estar entenebrecido	ha sido oscurecida (1) · fue oscurecido (1) · ha sido oscurecido (1)
σπουδαῖος	3	ferviente	más diligente (2) · diligente (1)
στενός	3	estrecho	angosta (3)
στερεόω	3	ser fortalecidos	fueron hechas firmes (1) · hizo firme (1) · estaban siendo hechas firmes (1)
συμπληρόω	3	anegarse	estar siendo llenado a plenitud (2) · estaban siendo llenados plenamente (1)
συναίρω	3	arreglar	alzar juntando (1) · estar alzando juntando (1) · está alzando juntamente (1)
συναπάγω	3	ir	estén conduciéndose desde juntamente (1) · fue conducido desde junto con (1) · habiendo sido conducidos desde juntamente (1)
συντάσσω	3	dirigir	ordenó (3)
συντηρέω	3	ser conservados	estaba guardando cuidadosamente (2) · están siendo guardados juntos (1)
σωφροσύνη	3	sobriedad	recto juicio de mente (3)
τοίνυν	3	por tanto	Pues ahora (2) · pues ahora (1)
τρίβος	3	sendas	veredas (3)
τρυγάω	3	recoger	están cortando (1) · corta (1) · cortó (1)
φάσκω	3	declarar	estando afirmando (1) · estaba alegando (1) · estando alegando (1)
φέγγος	3	luz	resplandor (2)
φανερῶς	3	abiertamente	manifiestamente (3)
φαρμακεία	3	hechicería	droguería (de prácticas espiritistas) (1) · droguería (espiritista) (1)
φιλοτιμέομαι	3	ambicionar	estando siendo encariñado de honra (1) · estamos siendo encariñados de honra (1) · ser encariñado de honra (1)
φιλόξενος	3	hospitalario	encariñado de extraños (2) · Encariñados de extraños (1)
φοβερός	3	aterrador	horrenda (1) · Horrendo (1) · horrendo (1)
ἀδημονέω	3	muy afligido	estar perturbado penosamente (2) · estando siendo entristecido (1)
ἀμφιέννυμι	3	ropa	ha sido vestido? (2) · está vistiendo (1)
ἀνέρχομαι	3	subir	vine hacia arriba (2) · Vino hacia arriba (1)
ἀνήκω	3	convenir	estaba siendo apropiado (2) · estando siendo apropiado (1)
ἀνατρέπω	3	derribar	están volcando (2) · volcó (1)
ἀντιλαμβάνω	3	socorrer	Tomó en lugar de (1) · estar tomando en lugar de (en ayuda) (1) · estando recibiendo de regreso (1)
ἀπαίρω	3	ser quitado	sea alzado (3)
ἀπαλλοτριόω	3	alejado de	han sido excluídos (3)
ἀποφεύγω	3	escapar	habiendo huído desde (2) · estando huyendo desde (1)
ἀποφθέγγομαι	3	proferir	estar expresando (1) · expresó (1) · estoy expresando (1)
ἀπρόσκοπος	3	sin ofensa	irreprensible (1) · Irreprensibles (1) · irreprensibles (1)
ἀπόκρυφος	3	cosa secreta	cuidadosamente escondido (2) · escondidos cuidadosamente (1)
ἀρχιτρίκλινος	3	maestresala	jefe de reclinatorio (3)
ἀστοχέω	3	extraviarse	desviaron (2) · habiendo desviado (1)
ἁρπαγή	3	avaricia	arrebato violento (1) · de arrebato violento (1) · arrebatar violentamente (1)
ἄριστον	3	cena	comida (3)
ἅλλομαι	3	brotar	estando borbotoneando (1) · estando saltando (1) · saltó (1)
ἆσσον	3	Asón	cercanamente (1)
ἐκκλίνω	3	apartarse	(se) inclinaron hacia fuera (1) · estén doblando hacia fuera (1) · incline hacia fuera (1)
ἐκπλέω	3	zarpar	navegar hacia fuera (1) · estaba navegando hacia fuera (1) · navegando hacia fuera (1)
ἐνέχω	3	sostener	estaba teniendo dentro (1) · estar teniendo dentro (rencor) (1) · estén siendo tenidos dentro (1)
ἐξώτερος	3	exterior	(de) afuera (3)
ἐπάγω	3	traer	conducir encima (1) · estando conduciendo sobre (1) · habiendo conducido sobre (1)
ἐπίτροπος	3	capataz	encargado (2) · a hombres encargados (1)
ἐπαρκέω	3	aliviar	fue suficientemente fuerte sobre (1) · esté siendo suficientemente fuerte sobre (1) · socorran (1)
ἐπιβαρέω	3	exagerar	poner peso sobre (2) · esté poniendo peso sobre (1)
ἐπιβιβάζω	3	poner	habiendo montado (2) · pusieron encima (1)
ἐπιχειρέω	3	emprender	pusieron en mano (1) · estaban poniendo en mano (1) · Pusieron en mano (1)
ἑδραῖος	3	firme	fijos (2) · fijo (1)
ἑρμηνεύω	3	medio	está siendo traducido (2) · estando siendo traducido (1)
ἑταῖρος	3	amigo	Compañero (3)
ἑτοίμως	3	listo	preparado (3)
ἔνταλμα	3	preceptos	mandatos (3)
ἔντρομος	3	aterrar	tembloroso (2) · Tembloroso (1)
ἕλκος	3	llagas	úlceras (2) · úlcera (1)
ἡσσάομαι	3	ser inferior	fueron hechos menos (1) · ha sido vencido (1) · están siendo vencidos (1)
ὀρέγω	3	aspirar a	está extendiéndose hacia (1) · estando extendiéndose hacia adelante (1) · están extendiéndose hacia adelante (1)
ὁλοκαύτωμα	3	holocaustos	enteras ofrendas quemadas (2) · Enteras ofrendas quemadas (1)
ὄρθρος	3	alba	de madrugada (1) · [[De madrugada (1) · amanecer (1)
ὄφελος	3	provecho	beneficio? (2) · beneficio (1)
ὑάλινος	3	de vidrio	vítreo (3)
ὑπεραίρω	3	envanecerse	fuera sobreensalzado (2) · estando siendo alzado por encima de (1)
ὑποδέω	3	llevar puesto	han sido atadas (1) · átate (1) · habiéndose atado (1)
ὑποφέρω	3	soportar	llevar (estando) debajo (1) · llevé debajo de (estas estuve) (1) · está llevando (estando) debajo (1)
ὕβρις	3	desastre	daño (2) · insultos (1)
ὠτίον	3	oído	oreja (3)
ῥάπισμα	3	con las palmas	a bofetadas (1) · bofetada (1) · bofetadas (1)
αὐθάδης	2	obstinado	que se complace a sí mismo (1) · que se agradan a sí mismos (1)
αὐθαίρετος	2	de buena voluntad	por su propia elección (2)
αὐστηρός	2	áspero	riguroso (2)
αὐτάρκεια	2	suficiencia	autosuficiencia (2)
βαρέως	2	apenas	pesadamente (2)
βασίλειος	2	palacios	real (1)
βδελύσσομαι	2	aborrecer	estando detestando (1) · han sido detestables (1)
βιάζω	2	ser tomado por la fuerza	está siendo luchado enérgicamente hacia (él) (1) · se está enérgicamente luchando hacia (él) (1)
βοήθεια	2	sostener	ayudas (1) · ayuda (1)
βραδύνω	2	tardar	esté siendo lento (1) · está siendo lento (1)
γλωσσόκομον	2	bolsa	caja de dinero (2)
δεινῶς	2	gravemente	terriblemente (2)
δεσμώτης	2	presos	atados (2)
διάγω	2	llevar	estemos conduciéndonos a través (1) · estando conduciendo a través (1)
διαγινώσκω	2	examinar	estar conociendo completamente (1) · haré conocer plenamente (1)
διαλαλέω	2	ser comentados	estaba siendo hablado a través (1) · estaban hablando (1)
διατηρέω	2	atesorar	estaba guardando completamente (1) · estando guardando completamente (1)
διοδεύω	2	viajar	estaba yendo en camino a través (1) · Habiendo ido en camino a través (1)
δοκίμιον	2	prueba	probada (2)
δοχή	2	banquete	recepción (2)
δυναμόω	2	ser fortalecido	estando siendo hechos poderosos (1) · fueron hechos poderosos (1)
εὐθυδρομέω	2	navegar en línea recta	corrimos rumbo directo (1) · habiendo corrido directamente (1)
εὐθύνω	2	enderezar	Hagan recto (1) · estando haciendo recto (1)
εὐκαίρως	2	oportunamente	en buen tiempo señalado (2)
εὐσεβέω	2	adorar	están bien-reverenciando (1) · estar bien-reverenciando (1)
εὐσεβῶς	2	piadosamente	bien-reverentemente (2)
εὐτόνως	2	vehementemente	intensamente (2)
εὐφροσύνη	2	con gozo	de alegría (2)
εὔκαιρος	2	oportuno	buen tiempo señalado (1) · en buen tiempo señalado (1)
ζέω	2	ser ferviente	estando hirviendo (2)
ζεῦγος	2	par	Yugo (2)
ζωγρέω	2	pescar	estando atrapando vivos (1) · han sido capturados vivos (1)
θάλπω	2	cuidar	está acariciando (1) · esté acariciando (1)
θαῦμα	2	prodigio	maravilla (1) · a maravilla (1)
καίτοι	2	y sin embargo	Aunque (2)
καθήκω	2	convenir	estaba siendo apropiado (1) · estando siendo apropiadas (1)
καθηγητής	2	instructores	líderes (1) · Líder (1)
κατάσχεσις	2	posesión	tenencia completa (2)
καταβάλλω	2	ser derribado	estando siendo arrojados hacia abajo (1) · estando arrojándonos hacia abajo (1)
καταδυναστεύω	2	ser oprimido	estando siendo dominados hacia abajo (1) · están dominando hacia abajo (1)
κατακλάω	2	romper	quebró completamente (2)
καταλαλιά	2	calumnia	habladas hacia abajo (2)
καταμένω	2	quedarse	estando alojando (1)
καταπονέω	2	ser oprimido	estando siendo maltratado (1) · estando siendo afligido completamente (1)
κατασκήνωσις	2	nidos	lugares para asentar tiendas (2)
καταστέλλω	2	calmar	Habiendo aquietado (1) · han sido aquietados (1)
καταστροφή	2	subversión	derrumbe (1) · a derrumbe (1)
κατοικητήριον	2	morada	habitación (1) · lugar de habitación (1)
καυσόω	2	arder de fiebre	estando siendo hechos intensamente calientes (2)
κενοφωνία	2	palabrerías	voces vacías (2)
κεράμιον	2	cántaro	vasija de barro (2)
κεραία	2	tilde	cuernito (2)
κλάσις	2	partir	quebrantamiento (2)
κλύδων	2	furioso	oleaje (1) · a oleaje (1)
κορέννυμι	2	lleno	Habiendo sido satisfechos (1) · han sido saciados (1)
κόλασις	2	castigo	cortamiento (2)
κόσμιος	2	respetable	arreglado (1) · ordenado (1)
λέντιον	2	toalla	lienzo de lino (2)
λίβανος	2	incienso	olíbano (2)
λίνον	2	pábilo	lino (2)
λατομέω	2	cortar	excavó (1) · ha sido excavada (1)
λικμάω	2	desmenuzar	pulverizará (2)
λοίδορος	2	maldiciente	denigrador injurioso (1) · denigradores injuriosos (1)
λογικός	2	razonable	facultad de raciocinio (1) · perteciente a la palabra (1)
λογισμός	2	pensamientos	razonamientos (2)
λουτρόν	2	lavamiento	baño (2)
μήτρα	2	vientre	matriz (2)
μίσθιος	2	jornaleros	obreros a sueldo (2)
μακαρίζω	2	llamar bienaventurada	pronunciarán dichosa (1) · estamos pronunciando dichosos (1)
μεθοδεία	2	maquinación	tramar (1) · artimañas (1)
μελετάω	2	idear	meditaron (1) · estés meditando (1)
μερισμός	2	repartimientos	a distribuciones (1) · división (1)
μετάγω	2	dirigir	estamos conduciendo de un lado a otro (1) · están siendo conducidos de un lado a otro (1)
μεταίρω	2	retirarse	(se) trasladó (2)
μετοικίζω	2	quitar	cambió de casa (1) · cambiaré de casa (1)
μονόφθαλμος	2	tuerto	un ojo (1) · un solo ojo (1)
μωμάομαι	2	ser tachado	sea hallado manchado (1) · manche (1)
μόρφωσις	2	expresión	forma (2)
νεύω	2	impulsos	Está haciendo seña con cabeza (1) · haciendo seña con cabeza (1)
νωθρός	2	tardo	perezosos (2)
νῆστις	2	hambriento	(en) ayunas (2)
ξενία	2	alojamiento	hospedaje (2)
οἰκητήριον	2	morada	casa de habitación (2)
οἰνοπότης	2	borracho	bebedor de vino (2)
πέλαγος	2	profundidad	extensión acuosa (2)
παντελής	2	lleno	completo (2)
παρίημι	2	descuidar	han sido dejadas caídas al lado (1)
παραινέω	2	amonestar	estaba recomendando (1) · estoy recomendando (1)
παραπικρασμός	2	rebelión	provocación a amargura (2)
παρεισέρχομαι	2	entrar	vino hacia dentro al lado de (1) · vinieron hacia dentro al lado de (1)
παροικέω	2	visitar	estás alojando (1) · habitó como extranjero (1)
παροικία	2	peregrinar	habitación como forastero (1) · habitación como forasteros (1)
παχύνω	2	embotarse	Fue hecho grueso (2)
περιέχω	2	asir	tuvo alrededor de (1) · está teniendo alrededor (1)
περιβόλαιον	2	de cubierta	(prenda) puesta alrededor (2)
περιλείπομαι	2	restante	estando siendo dejados alrededor (2)
πεῖρα	2	intento	puesta a prueba (2)
πιστικός	2	puro	genuino (2)
πλάσσω	2	formar	habiendo moldeado (1) · fue moldeado (1)
πλήκτης	2	pendenciero	golpeador (2)
πολλαπλασίων	2	a ciento por uno	muchas veces más (1)
πορεία	2	progreso	camino (1) · en caminos (1)
πράκτωρ	2	oficial	efectuador (2)
πρασιά	2	grupos	filas de jardín (2)
πρεσβεία	2	embajada	grupo de hombres de mayor edad (2)
προκαταγγέλλω	2	predecir	anunció de antemano (1) · habiendo anunciado de antemano (1)
προπετής	2	temerario	precipitado (1) · obstinados (1)
προσαναπληρόω	2	colmar	estando supliendo abundantemente (1) · suplieron abundantemente (1)
προσοχθίζω	2	enojarse	(me) sentí vejado de irritación (1) · (se) sintió vejado de irritación (1)
προφέρω	2	producir	está llevando hacia (fuera) (2)
προφῆτις	2	profetisa	vocera (2)
πρωϊνός	2	mañana	matutina (2)
πρόγνωσις	2	presciencia	conocimiento de antemano (2)
πρόγονος	2	padres	progenitores (1) · nacidos antes (1)
πρῷρα	2	arco	proa (2)
πτερύγιον	2	pináculo	alita (2)
πόρρωθεν	2	de lejos	distanciadamente (1) · a distancia (1)
σεληνιάζομαι	2	ser epilépticos	estando heridos por la luna (1) · está siendo herido por la luna (1)
σκυθρωπός	2	sombrío	de rostro triste (2)
σπιλόω	2	contaminar	estando manchando (1) · ha sido manchada (1)
στυγνάζω	2	encapotarse	estando de aspecto sombrío (1) · habiendo ensombrecido (1)
συγκεράννυμι	2	componer	mezcló junto con (1) · han sido mezclados juntamente (1)
συζεύγνυμι	2	unido	enyugó juntos (2)
συκοφαντέω	2	acusar falsamente	tomen por muestra de higo (1) · tomé por muestra de higo (1)
συναναβαίνω	2	alcanzar	habiendo dado pasos hacia arriba junto con (2)
συναρμολογέω	2	ser bien coordinado	estando siendo articulada (1) · estando siendo articulado (1)
συνεισέρχομαι	2	acompañar	vino hacia dentro con (2)
συνθλίβω	2	agolparse sobre	estaban oprimiendo (1) · estando oprimiendo (1)
συστέλλω	2	cubierto	envolvieron en vendas (1) · ha sido acortado (1)
